iter	MAE	RMSE
0	0.02532633044	0.03856975208
5	0.02526730645	0.03847320944
10	0.02522327061	0.03839580549
15	0.02517607803	0.03831849825
20	0.02512343287	0.03822391332
25	0.02506285035	0.03812754101
30	0.02499129736	0.0380082724
35	0.02493417722	0.03791747873
40	0.024882414	0.03782830785
45	0.02483382152	0.03774292913
50	0.02477470188	0.03765287047
55	0.02472877152	0.03756961408
60	0.02468214589	0.03749492039
65	0.02462993004	0.03740919982
70	0.02457560268	0.03733006626
75	0.02453512956	0.03725708221
80	0.02449534005	0.03719337347
85	0.02445229347	0.03712762703
90	0.02439478603	0.03703015398
95	0.02434948562	0.03695067038
100	0.02431271521	0.03688462969
105	0.0242728767	0.03682561075
110	0.02422731032	0.03673953713
115	0.02418581528	0.03667170265
120	0.02414014157	0.03659918871
125	0.02409966612	0.03653803854
130	0.02405030137	0.03645473811
135	0.02401162477	0.03639575926
140	0.02397349413	0.03633613489
145	0.02392617789	0.03626137759
150	0.02387496995	0.03618255478
155	0.02383215201	0.03611022359
160	0.02379228784	0.03604222223
165	0.0237457882	0.03596618506
170	0.02369975052	0.03589246718
175	0.02364641242	0.03580202227
180	0.02360722486	0.03573499527
185	0.02355668887	0.03565772024
190	0.02352501172	0.03560768298
195	0.02348421896	0.03553764705
200	0.02344266092	0.03547014925
205	0.02340056393	0.03539520261
210	0.02335913422	0.03532872874
215	0.02332780704	0.0352777991
220	0.02328729192	0.03521367114
225	0.02324891163	0.03515613179
230	0.0232156736	0.03510788842
235	0.02316867933	0.03503140295
240	0.02312638636	0.034970032
245	0.02308859169	0.03491647858
250	0.02305791546	0.03486740178
255	0.02301337099	0.03479021157
260	0.02297235658	0.03472818135
265	0.02293915122	0.03467874556
270	0.02290235514	0.03462012552
275	0.02284829609	0.03453468603
280	0.0228044749	0.03446207607
285	0.02276867508	0.03440442092
290	0.02272730369	0.03433059038
295	0.02269642681	0.03427596665
300	0.02266809773	0.03422762448
305	0.02262859286	0.03416198512
310	0.02260356518	0.03412490661
315	0.02256733372	0.03406033872
320	0.02252317189	0.03398958669
325	0.02248308374	0.03391995101
330	0.02244959373	0.03387616649
335	0.02241370058	0.03381960695
340	0.02237843271	0.03376306495
345	0.02235267476	0.03372318267
350	0.02232265647	0.03367873535
355	0.02228294629	0.03360904459
360	0.02225120148	0.03356182735
365	0.02222419062	0.03352238969
370	0.02218353785	0.03345689983
375	0.02215333524	0.03340731134
380	0.02211969358	0.03335013593
385	0.02208944898	0.03329831714
390	0.02206638814	0.03325971902
395	0.0220207051	0.03319377792
400	0.02198331174	0.03314076865
405	0.02195721548	0.03310153859
410	0.02192435075	0.03305367799
415	0.02189036611	0.03299835795
420	0.02185330172	0.03293802902
425	0.02183067018	0.03290399428
430	0.02179303184	0.03284647438
435	0.02176831913	0.03280905698
440	0.02173664198	0.03276401714
445	0.02170712766	0.03271476352
450	0.02166101532	0.03264590717
455	0.02162995878	0.03259285355
460	0.0216006731	0.03254494834
465	0.02157700098	0.03250853296
470	0.0215427807	0.03245437639
475	0.02151457994	0.03240392424
480	0.02147832281	0.0323516908
485	0.02144553275	0.03230560821
490	0.02142117468	0.03227152102
495	0.02138831462	0.03221652246
500	0.02135877463	0.03216466133
505	0.02133417159	0.03212735195
510	0.02129274654	0.03206540365
515	0.02126527139	0.03202443056
520	0.0212327473	0.03197426458
525	0.02119974492	0.03192029452
530	0.02116461704	0.03186865027
535	0.02112784429	0.03181040657
540	0.02109153118	0.03175642666
545	0.02106099727	0.03170898694
550	0.02102888148	0.03166102017
555	0.0210063456	0.03162841792
560	0.020971885	0.03157315469
565	0.02092971568	0.0315151538
570	0.02089787754	0.03146476326
575	0.02087554932	0.03143196441
580	0.02083636409	0.0313736502
585	0.02079773416	0.0313131051
590	0.02076585402	0.03126730833
595	0.0207337289	0.03122023819
600	0.02070683704	0.03117796502
605	0.02067674176	0.03112877481
610	0.02064377438	0.03107301483
615	0.02060926712	0.03101461461
620	0.02057853955	0.03096337182
625	0.02054853294	0.03091461727
630	0.02050092971	0.03083563415
635	0.02046052192	0.03077080232
640	0.02043800004	0.03073124444
645	0.02040832939	0.03068311077
650	0.02038431897	0.03064406902
655	0.02035322277	0.03060119768
660	0.02032430573	0.03055560453
665	0.02029880209	0.03051356231
670	0.02026338023	0.03046123849
675	0.02024214625	0.03042792223
680	0.02021933506	0.03038400443
685	0.02018312227	0.03032304625
690	0.02013845648	0.03025817276
695	0.02010270332	0.03020500101
700	0.0200735273	0.03016249064
705	0.02005705294	0.03013591919
710	0.02002751762	0.03009445721
715	0.01999990481	0.03004549146
720	0.01996871295	0.02999556344
725	0.01993371573	0.02994617183
730	0.01990307683	0.02990106855
735	0.01988306075	0.02986932075
740	0.01985733079	0.02983104093
745	0.01982270687	0.02977816669
750	0.01979271658	0.02974064845
755	0.01975568952	0.02968338748
760	0.01971969604	0.02962084227
765	0.01969856939	0.02958473878
770	0.01967305641	0.02954773371
775	0.01964312212	0.02950624954
780	0.01961542065	0.02946440259
785	0.01958292923	0.02940615494
790	0.01956750362	0.02937928534
795	0.01953764399	0.02933621471
800	0.01950898477	0.02929772114
805	0.01948411107	0.02926008397
810	0.01944966447	0.0292108977
815	0.01942268045	0.0291658898
820	0.01939602073	0.02911385237
825	0.01936061288	0.02906278925
830	0.0193347126	0.02902027018
835	0.01929483909	0.02896129671
840	0.01926360407	0.02890235552
845	0.01922985392	0.02885485639
850	0.01919150396	0.02879419708
855	0.01916203397	0.02874942953
860	0.01913655482	0.02871246013
865	0.01910897351	0.02867587023
870	0.0190851964	0.02864174621
875	0.01906081967	0.02860861241
880	0.01902887887	0.02855400573
885	0.0190040635	0.02851580628
890	0.01897323212	0.02847228858
895	0.01893656319	0.0284184552
900	0.01891099072	0.02837836352
905	0.01889124412	0.02834541828
910	0.01886210777	0.02829865131
915	0.01883535239	0.0282545695
920	0.01879516508	0.02818891888
925	0.01875715577	0.02812953476
930	0.01872080882	0.02807000162
935	0.01868959946	0.02801944577
940	0.01865693889	0.02797060894
945	0.01863163123	0.02792869575
950	0.01860558046	0.0278939439
955	0.0185866073	0.02786314346
960	0.01857137068	0.02783922002
965	0.01854851399	0.0278057448
970	0.01852258221	0.02776842621
975	0.01850322292	0.02773961942
980	0.01847414023	0.02769630897
985	0.01845822349	0.027664428
990	0.01844083454	0.02763998437
995	0.01841806301	0.02760553069
1000	0.01839233538	0.02757332397
1005	0.01836843228	0.02754117489
1010	0.01834287264	0.02750031995
1015	0.0183198608	0.02746779875
1020	0.01828420563	0.02741805646
1025	0.01824842447	0.02736712082
1030	0.01821786256	0.02732740908
1035	0.01820155852	0.02730500562
1040	0.01817444501	0.02726561121
1045	0.01815478124	0.02723061424
1050	0.0181380339	0.0272024186
1055	0.0181195752	0.02716907523
1060	0.01809937363	0.02713847303
1065	0.01807155551	0.02709676068
1070	0.01805541479	0.02707159577
1075	0.01801768078	0.02701858628
1080	0.01800317094	0.02699381712
1085	0.01797904618	0.02695533119
1090	0.01795241563	0.0269160873
1095	0.01792974676	0.02688227894
1100	0.0179104178	0.02685205314
1105	0.01789786196	0.0268329063
1110	0.01787948258	0.0268064656
1115	0.01786702007	0.02678313776
1120	0.01784855904	0.02675595981
1125	0.01782362002	0.02672447942
1130	0.01779369506	0.02667796058
1135	0.0177751582	0.02665027459
1140	0.01775558542	0.02662358131
1145	0.01773466408	0.0265957359
1150	0.01770964923	0.02655608828
1155	0.01769542402	0.02653515625
1160	0.01767712048	0.02650686725
1165	0.01766366754	0.02648583576
1170	0.01765038027	0.02646633031
1175	0.01762042614	0.02642601123
1180	0.01760059905	0.02639811209
1185	0.01757612316	0.02636324816
1190	0.01756568699	0.02634712655
1195	0.01754571991	0.02631649944
1200	0.01752025359	0.02627814524
1205	0.01749148121	0.02622869867
1210	0.017475183	0.02620578161
1215	0.01745286527	0.02616999003
1220	0.01743329249	0.02614503324
1225	0.01740226979	0.02609719798
1230	0.01737574423	0.02605744797
1235	0.01736227146	0.02603637828
1240	0.01735384763	0.02602518849
1245	0.01734316298	0.02600984128
1250	0.01732830783	0.02598593719
1255	0.01731217877	0.02596410464
1260	0.01730129697	0.0259460406
1265	0.01728344489	0.02592453726
1270	0.01726048437	0.02588949323
1275	0.01724428183	0.02586579363
1280	0.01723971819	0.02585838472
1285	0.01722017574	0.02583153079
1290	0.01720156072	0.02580617323
1295	0.01718426626	0.02578090667
1300	0.01716473081	0.02575159942
1305	0.01713867188	0.02571414787
1310	0.01712540093	0.02569178355
1315	0.01711167852	0.02567161231
1320	0.01708799823	0.02563651831
1325	0.01707778487	0.02562299141
1330	0.01705990713	0.02559527808
1335	0.01704759627	0.02558142298
